order_id,customer_id,amazon_api_latency,cs_auth_status,system_cpu_load,architecture_efficiency
AMZ-D9EB9ACA,5ed0336c-2f18-4a8c-835e-fa7f6affde40,514.4834506659598,1.0,95.65291898998078,0.5584785834017876
AMZ-A1BF3009,c1c4075f-7950-463b-a6ef-7d9ae4ba473f,1359.5626310651755,1.0,99.09279388835282,0.11699023307085361
AMZ-9C9BA4CD,216801a5-5dc2-4af7-abb5-2144f5a6106d,1557.036888575345,1.0,84.15081099244746,0.07373395826655599
AMZ-B94F9251,8279cebf-4eeb-4128-8abf-df07e7420b77,416.60867175410135,0.5,47.168971287653164,0.5693626626265013
AMZ-E24C7A87,2cf704db-44fb-4674-9195-5afa3300dddc,183.33073849404036,1.0,57.00389091692595,0.7885255070371074
AMZ-8059C453,ef031335-e88f-4871-b991-c931755fa2f3,935.2160130725435,1.0,52.814162752175996,0.44966768984086913
AMZ-C05883E6,302cba3d-de13-41a2-a771-6179cb147139,1570.6457633856305,1.0,19.788338916795183,0.3957249696402636
AMZ-4330AE3C,002cf7c9-a917-4816-8f2d-4fe216b072f6,1336.481687590871,0.0,86.1693462474096,0.0
AMZ-17692504,4358feb5-e30d-4808-8299-c25ce8e5ec9a,1433.5752687877234,1.0,69.20013900806939,0.1813241436538584
AMZ-4236FB2E,41e60fa9-7e36-4d76-8f84-9989599f0ac9,865.3947459873999,1.0,65.60388353795031,0.4659259129103735
AMZ-3548969C,b3c05939-8e89-492a-9aa7-f9042f98c691,546.3965359808327,1.0,25.931460991965498,0.6742373265243643
AMZ-ECE13878,8c03cf78-2772-4bf8-a7f2-46f3a41bbc23,1110.379802240758,1.0,19.5501333829642,0.5119006077670981
AMZ-3361BBAB,aff8d330-26f6-4920-aeea-d0650fc229db,488.2948181234741,0.5,87.93751531828217,0.4030290884317739
AMZ-3D279EBD,9a0d5c2a-09b1-43df-a9c7-5c63559e0c48,1479.834524271625,1.0,22.044325119110407,0.39938535539598835
AMZ-85F1EBD7,fde4e676-e1d2-4090-b47b-d4d2f347f278,474.23626632300636,1.0,12.003254446439035,0.7863351050199938
AMZ-98E32A9C,903c2c04-8bb5-4b36-b6c4-77733af5bb97,653.4002067572487,0.5,64.4324941073205,0.43144001281026145
AMZ-59E8F0FB,69a89ae9-503f-4630-984c-f1b66bafbbec,1062.43507881371,1.0,71.9126094444048,0.33342171722138103
